"","ID","ti","W1","W2","EY1_1","EY1_2","EY1_3","EY1_4","EY1_5","EY0_1","EY0_2","EY0_3","EY0_4","EY0_5"
"1",1,1,1,58,0.660580985227134,0.586958569571108,0.503203248830548,0.444112753923926,0.437605823946244,0.520346428484018,0.508347050243439,0.480558627949097,0.472264851753995,0.478886086020094
"6",2,1,3,96,0.54873402707922,0.553489899990956,0.547884483783135,0.564168086735802,0.563868680549512,0.238447830268909,0.339450702531679,0.37796461297793,0.407374177320583,0.432320564187544
"11",3,1,2,57,0.512194632297475,0.541089194643269,0.552575705689172,0.556644881044074,0.57434083253948,0.575644283914077,0.618452535212682,0.602646464861043,0.587483149187565,0.586463527865225
"16",4,2,2,133,0.530541801152385,0.562591635395051,0.568625688234881,0.575477545124574,0.592823127008068,0.58775680908628,0.619889780900157,0.61569114158508,0.609104646833129,0.610032999271179
"21",5,2,1,47,0.666998651911956,0.587256965953446,0.497146174740029,0.433410017149003,0.425505044264363,0.519077073997169,0.50372545834965,0.473131647863713,0.464850884956545,0.472463821909732
"26",6,2,3,21,0.616169852524064,0.626822031527483,0.62195687973522,0.642692373154064,0.646519690966949,0.13133605221484,0.23144651523146,0.265895081519411,0.287342821475662,0.302843563956157
"31",7,2,2,147,0.533914028674156,0.56652951544892,0.57156762989478,0.578924609430695,0.59620091456363,0.589976974541723,0.620154308395545,0.618076670584672,0.613043926063764,0.614322719954128
"36",8,2,1,150,0.604767560695719,0.584460408856425,0.553655687128915,0.534703116952615,0.540335781720742,0.530950996817064,0.5468690445506,0.542695808188746,0.534436810247737,0.532668579390305
"41",9,3,2,126,0.528854621532769,0.560619701113873,0.567152885809778,0.573751233758721,0.591130915437869,0.586645379956164,0.619757490433585,0.614496278982983,0.607129625622632,0.607881692403699
"46",10,3,1,85,0.644579978682824,0.586225871644689,0.518062975908758,0.470583785229868,0.467595115036504,0.523460969679752,0.519683290193247,0.498818203011979,0.490508001095932,0.494675081507924
"51",11,3,2,134,0.530782770738572,0.562873180380615,0.568835990165686,0.575724011807604,0.593064692835449,0.587915511937808,0.619908678085021,0.61586172270424,0.609386502773119,0.610339981771143
"56",12,3,1,77,0.64935675151751,0.586443007274677,0.513662239042574,0.462716434966079,0.458675007942425,0.52253832191604,0.516325990224639,0.493405433794903,0.485097791619038,0.489994332356238
"61",13,3,1,21,0.681920752358123,0.587962011336514,0.482835993199713,0.40837515671653,0.397279644592666,0.516075831978427,0.492800592074167,0.45563002661403,0.447394393274294,0.457323897351435
"66",14,3,2,35,0.506875274735984,0.534832501042135,0.54790760576617,0.551160300178199,0.568949254434191,0.572120318541497,0.618036101811212,0.598842076684781,0.581156746481738,0.579560972132863
"71",15,3,3,44,0.595835123441152,0.604782823974348,0.59967317896021,0.619207038748498,0.621846683324803,0.158965284979632,0.261869749098873,0.297988475303333,0.32197290693074,0.340373644703781
"76",16,3,3,105,0.540467560375218,0.544462838774525,0.538781563874056,0.554438045448845,0.553605748360326,0.254671711372756,0.353974790612259,0.392667323660852,0.422916579485054,0.448923521703973
"81",17,3,1,181,0.585241293616396,0.583617651846962,0.570461160834882,0.565011738203339,0.574617456941637,0.534518466566544,0.559746698029341,0.563432362135355,0.555242228913058,0.550682818503688
"86",18,3,3,28,0.61002034601933,0.620165361098349,0.615224492991966,0.635611027727486,0.63908586432425,0.139283784134571,0.240437523085603,0.275426219014752,0.297646192314987,0.314019148673399
"91",19,4,2,112,0.525478321993376,0.556670145875232,0.564203743065533,0.570293253482281,0.58774004327508,0.584419881976547,0.619492856148964,0.612102421564435,0.603169111563136,0.603566562028434
"96",20,4,3,182,0.469301764769334,0.46664825536273,0.460470111415438,0.470253332491731,0.464833600730601,0.419105239613294,0.486767251879918,0.523741106696077,0.558951534579915,0.591786023935946
"101",21,4,2,365,0.585837347980104,0.626478560386403,0.616605535395602,0.631418666691948,0.647449036517106,0.624024550416889,0.62426408584425,0.65442934855346,0.672216042599252,0.678496710339457
"106",22,4,1,194,0.576968640946053,0.583264091801343,0.577462844418134,0.577591701491069,0.588801938033236,0.536013473145076,0.565124179752421,0.572066993026353,0.563914006592528,0.558200531376119
"111",23,4,2,42,0.508568023895861,0.536824551429527,0.54939386475655,0.552906809122994,0.570666593696871,0.573242391958036,0.618168622192692,0.600053879930994,0.583172694251556,0.581760752683596
"116",24,4,3,56,0.585088674584847,0.593106350855024,0.587874559211672,0.606720605908076,0.60870933514062,0.175162992898082,0.278730773043467,0.315588885882439,0.340883190606157,0.360820446463105
"121",25,4,1,175,0.589043585493363,0.583780804419335,0.567219902861734,0.559176214223762,0.568027607028509,0.533828252665966,0.557259967161439,0.559433811090071,0.551228164037335,0.547205066890764
"126",26,4,1,47,0.666998651911956,0.587256965953446,0.497146174740029,0.433410017149003,0.425505044264363,0.519077073997169,0.50372545834965,0.473131647863713,0.464850884956545,0.472463821909732
"131",27,4,1,70,0.653512050748267,0.586632973387673,0.50980983246759,0.455847564752958,0.450891385497046,0.52173087872025,0.513387132968356,0.488670485189129,0.480366678342772,0.485900087499478
"136",28,4,3,245,0.411862630849767,0.404001637105742,0.397649566087477,0.402402388219544,0.393579049457242,0.570787074033784,0.597718552106016,0.629392855412535,0.664863189723183,0.699082564773962
"141",29,4,2,28,0.50518236792834,0.532839338845037,0.546420491829817,0.549412528681168,0.567230255242909,0.570997502775541,0.617903563865402,0.597629063838823,0.579138085069792,0.57735802703949
"146",30,4,1,136,0.613481441529654,0.584840847246068,0.546023341124676,0.520917107916178,0.524707547743112,0.529338821902108,0.541031642691745,0.53327776133133,0.524996963165874,0.52450224718101
"151",31,4,2,43,0.508809830072982,0.537109035626305,0.549606116160634,0.55315620487651,0.570911790057107,0.573402626915901,0.618187552240924,0.600226895143814,0.583460461553996,0.582074743885996
"156",32,4,2,59,0.512678091435174,0.541657373028791,0.552999631802846,0.557142815794395,0.574830120525231,0.575964268973072,0.618490384173049,0.602991711325773,0.588056879589476,0.587089394540325
"161",33,4,1,32,0.675650821639726,0.587663766779418,0.48888822510083,0.418916764413305,0.409149401367756,0.517345742305709,0.497422415806747,0.463023715392117,0.45476654035936,0.463721266398325
